,index,city,population
0,0,A Coruña,245468.0
1,1,Aachen,248960.0
2,44,Abbotsford,141397.0
3,60,Aberdeen,200680.0
4,68,Abidjan,4980000.0
5,70,Abilene,123420.0
6,73,Abington,55459.0
7,133,Accra,2291352.0
8,162,Acton,23627.0
9,187,Addis,6221.0
10,189,Addison,36482.0
11,192,Adelaide,1295714.0
12,258,Agawam,28613.0
13,300,Aguadilla,10739.0
14,353,Aiken,30869.0
15,375,Airdrie,61581.0
16,453,Akron,565208.0
17,581,Alameda,77624.0
18,586,Alamogordo,33513.0
19,614,Albany,586383.0
20,619,Albemarle,17185.0
21,646,Albuquerque,761195.0
22,724,Alexandria,4870000.0
23,790,Aliso Viejo,50887.0
24,807,Allegan,6350.0
25,810,Allen,105623.0
26,811,Allen Park,26940.0
27,812,Allendale,21672.0
28,816,Allentown,683794.0
29,832,Alma,30904.0
30,894,Alpharetta,67213.0
31,917,Altadena,44850.0
32,924,Altamonte Springs,44143.0
33,977,Alton,78905.0
34,978,Altoona,74829.0
35,986,Altus,18418.0
36,995,Alvarado,52927.0
37,1043,Amarillo,205603.0
38,1072,Ambler,6491.0
39,1090,American Fork,33161.0
40,1094,Amersfoort,156286.0
41,1096,Ames,67910.0
42,1097,Amesbury,17532.0
43,1101,Amherst,125509.0
44,1110,Amityville,9399.0
45,1113,Amman,4007526.0
46,1115,Ammon,17115.0
47,1122,Amory,6794.0
48,1136,Amsterdam,862965.0
49,1161,Anaconda,9140.0
50,1162,Anacortes,18563.0
51,1169,Anaheim,350365.0
52,1194,Anchorage,288000.0
53,1211,Anderson,85992.0
54,1226,Andover,35816.0
55,1291,Ankeny,67355.0
56,1296,Ann Arbor,322267.0
57,1305,Annandale,43295.0
58,1306,Annapolis,39223.0
59,1309,Annecy,128199.0
60,1371,Antwerp,529247.0
61,1403,Apache Junction,42571.0
62,1421,Apex,59300.0
63,1439,Apple Valley,73453.0
64,1440,Appleton,220570.0
65,1569,Arcadia,57939.0
66,1599,Ardmore,24698.0
67,1603,Ardrossan,10670.0
68,1669,Arkadelphia,10726.0
69,1674,Arles,51031.0
70,1676,Arlington,398854.0
71,1677,Arlington Heights,74760.0
72,1700,Arnold,23406.0
73,1733,Arroyo Grande,54177.0
74,1769,Arvada,121272.0
75,1816,Asbury Park,15408.0
76,1837,Ashburn,49848.0
77,1840,Asheboro,39192.0
78,1841,Asheville,312507.0
79,1850,Ashland,24430.0
80,1877,Asmara,963000.0
81,1885,Aspen,8569.0
82,1935,Atascadero,30075.0
83,1946,Athens,664046.0
84,1950,Athol,11713.0
85,1958,Atlanta,5449398.0
86,1961,Atlantic City,237054.0
87,1981,Attleboro,45237.0
88,2001,Auburn,92777.0
89,2002,Auburn Hills,24748.0
90,2009,Auckland,1346091.0
91,2020,Augusta,390809.0
92,2038,Aurora,379289.0
93,2041,Austell,7170.0
94,2043,Austin,1687311.0
95,2086,Avon Lake,24504.0
96,2128,Ayer,8106.0
97,2130,Aylesbury,83407.0
98,2388,Badajoz,150610.0
99,2501,Bainbridge Island,25298.0
100,2532,Bakersfield,579295.0
101,2609,Ballarat,98543.0
102,2618,Ballston Spa,5226.0
103,2636,Baltimore,2106068.0
104,2832,Bangalore,13999000.0
105,2837,Bangkok,17573000.0
106,2839,Bangor,61011.0
107,2860,Bannockburn,6840.0
108,2931,Barcelona,4735000.0
109,2942,Bardstown,21184.0
110,2977,Barnstable,242847.0
